Year,State,StateName,County,FIPS,Diabetes,HighBP,Obesity,NeedScore
2023,CA,California,Tuolumne,06109,12.1,36.8,29.0,25.96666666666667
2023,CA,California,Ventura,06111,11.4,30.7,25.7,22.599999999999998
2023,CA,California,Yolo,06113,9.3,26.0,25.7,20.333333333333332
2023,CA,California,Yuba,06115,11.3,30.9,30.8,24.333333333333332
2023,CO,Colorado,Jackson,08057,13.9,38.8,30.0,27.566666666666663
2023,CO,Colorado,Jefferson,08059,8.3,27.7,23.1,19.7
2023,CO,Colorado,Morgan,08087,10.9,31.6,32.1,24.866666666666664
2023,CO,Colorado,Washington,08121,10.5,32.6,26.4,23.166666666666668
2023,CO,Colorado,Lincoln,08073,10.8,32.6,29.8,24.400000000000002
2023,CO,Colorado,Logan,08075,11.2,33.6,29.7,24.833333333333332
2023,CO,Colorado,Phillips,08095,11.9,34.1,28.9,24.96666666666667
2023,CO,Colorado,Yuma,08125,10.9,31.4,28.4,23.566666666666663
2023,CO,Colorado,Lake,08065,8.4,26.4,23.9,19.566666666666666
2023,CO,Colorado,Adams,08001,9.7,27.3,33.2,23.400000000000002
2023,CO,Colorado,Alamosa,08003,11.3,29.0,30.3,23.53333333333333
2023,CO,Colorado,Arapahoe,08005,8.5,27.8,26.1,20.8
2023,CO,Colorado,Archuleta,08007,11.7,35.4,27.6,24.899999999999995
2023,CO,Colorado,Baca,08009,13.4,37.8,29.9,27.03333333333333
2023,CO,Colorado,Bent,08011,14.7,36.9,33.7,28.433333333333337
2023,CO,Colorado,Boulder,08013,7.1,21.9,16.7,15.233333333333333
2023,CO,Colorado,Broomfield,08014,7.1,24.5,22.3,17.966666666666665
2023,CO,Colorado,Chaffee,08015,10.2,32.3,25.7,22.73333333333333
2023,CO,Colorado,Cheyenne,08017,11.3,33.8,28.8,24.633333333333336
2023,CO,Colorado,Clear Creek,08019,9.0,30.3,23.9,21.066666666666666
2023,CO,Colorado,Conejos,08021,13.8,32.9,30.3,25.666666666666668
2023,CO,Colorado,Costilla,08023,17.0,38.1,31.6,28.900000000000002
2023,CO,Colorado,Crowley,08025,11.0,31.0,31.7,24.566666666666666
2023,CO,Colorado,Custer,08027,12.4,38.2,26.6,25.733333333333334
2023,CO,Colorado,Delta,08029,12.4,37.5,26.7,25.53333333333333
2023,CO,Colorado,Denver,08031,7.1,21.7,21.6,16.8
